Gene_Name	other_name	Gene_Pos	Chr	Genome_Pos	Strand	chr_pos	Reference	Heat	Enzyme
YDR129C	SAC6	1506	chrIV	713764	-	chrIV_713764	Schwartz 2014	Yes	None
YDR154C	YDR154C	37	chrIV	768718	-	chrIV_768718	Schwartz 2014	Yes	None
YIL052C	RPL34B	253	chrIX	256340	-	chrIX_256340	Schwartz 2014	Yes	None
YER007C-A	TMA20	399	chrV	166385	-	chrV_166385	Schwartz 2014	Yes	None
YER055C	HIS1	552	chrV	265235	-	chrV_265235	Schwartz 2014	Yes	None
YEL047C	FRDS1	888	chrV	65911	-	chrV_65911	Schwartz 2014	Yes	None
YFL018C	LPD1	87	chrVI	103042	-	chrVI_103042	Schwartz 2014	Yes	None
YFL016C	MDJ1	742	chrVI	105496	-	chrVI_105496	Schwartz 2014	Yes	None
YFL016C	MDJ1	691	chrVI	105547	-	chrVI_105547	Schwartz 2014	Yes	None
YFR015C	GSY1	1662	chrVI	174731	-	chrVI_174731	Schwartz 2014	Yes	None
YFR032C-A	RPL29	118	chrVI	223321	-	chrVI_223321	Schwartz 2014	Yes	None
YFR044C	DUG1	579	chrVI	240860	-	chrVI_240860	Schwartz 2014	Yes	None
YFL038C	YPT1	150	chrVI	55838	-	chrVI_55838	Schwartz 2014	Yes	None
YGL008C	PMA1	1708	chrVII	480960	-	chrVII_480960	Schwartz 2014	Yes	None
YGL008C	PMA1	336	chrVII	482332	-	chrVII_482332	Schwartz 2014	Yes	None
YGR037C	ACB1	111	chrVII	559885	-	chrVII_559885	Schwartz 2014	Yes	None
YGR037C	ACB1	7	chrVII	559989	-	chrVII_559989	Schwartz 2014	Yes	None
YGR038C-A	YGR038C-A	768	chrVII	566701	-	chrVII_566701	Schwartz 2014	Yes	None
YGR180C	RNR4	652	chrVII	855651	-	chrVII_855651	Schwartz 2014	Yes	None
YHR021C	RPS27B	23	chrVIII	148098	-	chrVIII_148098	Schwartz 2014	Yes	None
YHR028C	DAP2	2402	chrVIII	165034	-	chrVIII_165034	Schwartz 2014	Yes	None
YHR098C	SFB3	2608	chrVIII	299328	-	chrVIII_299328	Schwartz 2014	Yes	None
YHL034C	SBP1	807	chrVIII	33272	-	chrVIII_33272	Schwartz 2014	Yes	None
YJL158C	CIS3	643	chrX	122307	-	chrX_122307	Schwartz 2014	Yes	None
YJL068C	YJL068C	711	chrX	313206	-	chrX_313206	Schwartz 2014	Yes	None
YJR104C	SOD1	342	chrX	622674	-	chrX_622674	Schwartz 2014	Yes	None
YJR139C	HOM6	906	chrX	689620	-	chrX_689620	Schwartz 2014	Yes	None
YJR139C	HOM6	900	chrX	689626	-	chrX_689626	Schwartz 2014	Yes	None
YJR139C	HOM6	813	chrX	689713	-	chrX_689713	Schwartz 2014	Yes	None
YJR139C	HOM6	542	chrX	689984	-	chrX_689984	Schwartz 2014	Yes	None
YKL110C	KTI12	34	chrXI	229848	-	chrXI_229848	Schwartz 2014	Yes	None
YKL103C	APE1	922	chrXI	246762	-	chrXI_246762	Schwartz 2014	Yes	None
YKL082C	RRP14	802	chrXI	281529	-	chrXI_281529	Schwartz 2014	Yes	None
YKR094C	RPL40B	272	chrXI	618112	-	chrXI_618112	Schwartz 2014	Yes	None
YLR447C	VMA6	743	chrXII	1027152	-	chrXII_1027152	Schwartz 2014	Yes	None
YLR447C	VMA6	321	chrXII	1027574	-	chrXII_1027574	Schwartz 2014	Yes	None
YLR028C	ADE16	1320	chrXII	199997	-	chrXII_199997	Schwartz 2014	Yes	None
YLR028C	ADE16	366	chrXII	200951	-	chrXII_200951	Schwartz 2014	Yes	None
YLR168C	UPS2	424	chrXII	499848	-	chrXII_499848	Schwartz 2014	Yes	None
YLR259C	HSP60	1587	chrXII	663417	-	chrXII_663417	Schwartz 2014	Yes	None
YLR259C	HSP60	883	chrXII	664121	-	chrXII_664121	Schwartz 2014	Yes	None
YLR259C	HSP60	397	chrXII	664607	-	chrXII_664607	Schwartz 2014	Yes	None
YLR259C	HSP60	93	chrXII	664911	-	chrXII_664911	Schwartz 2014	Yes	None
YLR262C-A	TMA7	7	chrXII	669657	-	chrXII_669657	Schwartz 2014	Yes	None
YLR370C	ARC18	30	chrXII	862226	-	chrXII_862226	Schwartz 2014	Yes	None
YLR414C	PUN1	727	chrXII	953419	-	chrXII_953419	Schwartz 2014	Yes	None
YML059C	NTE1	4911	chrXIII	153349	-	chrXIII_153349	Schwartz 2014	Yes	None
YMR038C	CCS1	360	chrXIII	347902	-	chrXIII_347902	Schwartz 2014	Yes	None
YMR071C	TVP18	115	chrXIII	411152	-	chrXIII_411152	Schwartz 2014	Yes	None
YMR226C	TMA29	741	chrXIII	721657	-	chrXIII_721657	Schwartz 2014	Yes	None
YMR318C	ADH6	744	chrXIII	911401	-	chrXIII_911401	Schwartz 2014	Yes	None
YMR318C	ADH6	564	chrXIII	911581	-	chrXIII_911581	Schwartz 2014	Yes	None
YNL244C	SUI1	193	chrXIV	187305	-	chrXIV_187305	Schwartz 2014	Yes	None
YNL322C	KRE1	822	chrXIV	33415	-	chrXIV_33415	Schwartz 2014	Yes	None
YNL135C	FPR1	166	chrXIV	372062	-	chrXIV_372062	Schwartz 2014	Yes	None
YNL133C	FYV6	84	chrXIV	374610	-	chrXIV_374610	Schwartz 2014	Yes	None
YNL098C	RAS2	108	chrXIV	440464	-	chrXIV_440464	Schwartz 2014	Yes	None
YNL302C	RPS19B	158	chrXIV	62236	-	chrXIV_62236	Schwartz 2014	Yes	None
YNR001C	CIT1	1299	chrXIV	629764	-	chrXIV_629764	Schwartz 2014	Yes	None
YNR036C	MRPS12	324	chrXIV	694500	-	chrXIV_694500	Schwartz 2014	Yes	None
YOL016C	CMK2	418	chrXV	295704	-	chrXV_295704	Schwartz 2014	Yes	None
YOL005C	RPB11	274	chrXV	315903	-	chrXV_315903	Schwartz 2014	Yes	None
YOR008C	SLG1	819	chrXV	341597	-	chrXV_341597	Schwartz 2014	Yes	None
YOR052C	YOR29-03	361	chrXV	426865	-	chrXV_426865	Schwartz 2014	Yes	None
YOR089C	VPS21	255	chrXV	490575	-	chrXV_490575	Schwartz 2014	Yes	None
YOL143C	RIB4	213	chrXV	54893	-	chrXV_54893	Schwartz 2014	Yes	None
YOR151C	RPB2	3357	chrXV	613316	-	chrXV_613316	Schwartz 2014	Yes	None
YOR261C	RPN8	513	chrXV	816420	-	chrXV_816420	Schwartz 2014	Yes	None
YOR312C	RPL20B	272	chrXV	900498	-	chrXV_900498	Schwartz 2014	Yes	None
YOR323C	PRO2	258	chrXV	922649	-	chrXV_922649	Schwartz 2014	Yes	None
YPL037C	EGD1	267	chrXVI	481636	-	chrXVI_481636	Schwartz 2014	Yes	None
